nflweek,gameDate,otyn,roadTeam,rtTotalScore,rtScore1Q,rtScore2Q,rtScore3Q,rtScore4Q,rtScoreOT,rtFirstDowns,rt3DConv,rt3DAtt,rt4DConv,rt4DAtt,rtTYds,rtRushYds,rtPassYds,rtTO,rtSacks,rtPen,rtPenYds,homeTeam,htTotalScore,htScore1Q,htScore2Q,htScore3Q,htScore4Q,htScoreOT,htFirstDowns,ht3DConv,ht3DAtt,ht4DConv,ht4DAtt,htTYds,htRushYds,htPassYds,htTO,htSacks,htPen,htPenYds
1,2017-09-07,N,KC,42,7,7,7,21,0,26,4,11,0,0,537,185,352,1,3,15,139,NE,27,7,10,10,0,0,25,5,15,0,2,371,247,124,0,3,6,55
1,2017-09-10,N,NYJ,12,0,6,6,0,0,11,4,14,1,1,214,38,176,2,1,5,62,BUF,21,0,7,7,7,0,23,8,17,0,0,408,190,218,1,2,6,50
1,2017-09-10,N,ATL,23,3,7,3,10,0,18,5,11,0,0,372,64,308,0,2,8,73,CHI,17,0,10,0,7,0,20,5,13,1,2,301,125,176,0,4,4,40
1,2017-09-10,N,BAL,20,3,14,3,0,0,17,6,14,0,0,268,157,111,1,1,11,85,CIN,0,0,0,0,0,0,14,4,13,0,1,221,77,144,5,5,9,66
1,2017-09-10,N,PIT,21,7,7,7,0,0,16,5,13,0,0,290,35,255,1,1,13,143,CLE,18,7,0,3,8,0,20,3,12,2,2,237,57,180,1,7,4,61
1,2017-09-10,N,ARI,23,10,0,7,6,0,24,6,15,1,1,308,45,263,4,1,6,55,DET,35,0,9,6,20,0,19,8,16,0,1,367,82,285,1,1,10,100
1,2017-09-10,N,OAK,26,7,6,3,10,0,22,5,12,1,1,359,109,250,0,2,5,49,TEN,16,7,3,3,3,0,21,7,14,0,0,350,95,255,0,1,5,49
1,2017-09-10,N,PHI,30,7,9,3,11,0,19,8,14,0,0,356,58,298,2,2,8,76,WAS,17,0,14,3,0,0,16,3,11,0,1,264,64,200,4,4,2,15
1,2017-09-10,N,JAX,29,3,16,7,3,0,19,3,12,1,1,280,155,125,0,0,10,89,HOU,7,0,0,7,0,0,23,5,12,0,1,203,93,110,4,10,9,94
1,2017-09-10,N,IND,9,3,0,0,6,0,10,0,10,0,1,225,75,150,3,4,4,20,LAR,46,10,17,10,9,0,19,5,14,0,0,373,63,310,1,1,7,50
1,2017-09-10,N,SEA,9,0,3,3,3,0,12,3,12,0,0,225,90,135,1,3,8,50,GB,17,0,0,14,3,0,26,9,16,0,0,370,84,286,1,4,8,70
1,2017-09-10,N,CAR,23,7,6,10,0,0,20,7,13,0,0,287,116,171,2,0,5,40,SF,3,0,0,3,0,0,13,2,11,1,4,217,51,166,2,4,10,74
1,2017-09-10,N,NYG,3,0,0,3,0,0,13,4,12,1,1,233,35,198,1,3,6,55,DAL,19,3,13,0,3,0,22,8,15,0,0,392,129,263,0,1,5,50
1,2017-09-10,N,NO,19,3,3,3,10,0,19,4,11,0,0,344,60,284,0,1,6,52,MIN,29,3,13,3,10,0,23,9,14,0,0,470,129,341,0,1,5,50
1,2017-09-10,N,LAC,21,0,7,0,14,0,17,3,12,1,2,249,64,185,1,1,4,40,DEN,24,7,7,10,0,0,22,8,15,0,0,321,140,181,2,4,3,62
2,2017-09-14,N,HOU,13,3,7,0,3,0,14,4,15,0,0,266,168,98,0,3,9,61,CIN,9,0,6,3,0,0,12,4,15,1,2,295,82,213,1,3,7,45
2,2017-09-17,Y,ARI,16,0,3,0,10,3,17,6,15,0,1,389,83,306,1,4,6,41,IND,13,10,0,0,3,0,18,8,18,0,0,266,76,190,1,4,8,70
2,2017-09-17,N,PHI,20,3,0,7,10,0,27,8,15,0,0,406,107,299,2,6,4,30,KC,27,3,3,7,14,0,16,5,12,0,0,344,112,232,0,4,5,40
2,2017-09-17,N,NE,36,20,10,3,3,0,29,6,12,0,0,555,119,436,0,2,9,66,NO,20,3,10,0,7,0,20,4,12,1,2,429,81,348,0,1,5,35
2,2017-09-17,N,MIN,9,0,3,6,0,0,14,5,15,0,3,237,91,146,1,2,11,131,PIT,26,7,7,6,6,0,22,3,13,0,0,335,102,233,0,2,10,72
2,2017-09-17,N,CHI,7,0,0,0,7,0,19,7,14,0,2,310,20,290,4,1,8,59,TB,29,10,16,0,3,0,22,8,15,0,0,311,117,194,1,2,4,34
2,2017-09-17,N,BUF,3,0,0,0,3,0,10,4,13,0,2,176,69,107,0,3,5,44,CAR,9,3,3,0,3,0,19,7,16,0,0,255,77,178,0,6,6,40
2,2017-09-17,N,TEN,37,3,3,17,14,0,21,6,13,0,0,390,179,211,1,1,7,70,JAX,16,3,0,0,13,0,20,6,13,0,0,310,99,211,3,2,10,99
2,2017-09-17,N,CLE,10,0,7,3,0,0,20,2,12,1,2,386,93,293,5,3,11,65,BAL,24,7,14,0,3,0,24,4,11,0,0,337,136,201,2,2,7,45
2,2017-09-17,N,NYJ,20,0,10,3,7,0,17,7,12,0,0,271,126,145,2,4,5,47,OAK,45,7,14,7,17,0,21,8,12,0,0,410,180,230,0,0,9,79
