season,week,gameDate,roadTeam,rTotalScore,rScore1Q,rScore2Q,rScore3Q,rScore4Q,rScoreOT,homeTeam,hTotalScore,hScore1Q,hScore2Q,hScore3Q,hScore4Q,hScoreOT
2017,1,2017-09-07,N,KC,42,7,7,7,21,0,NE,27,7,10,10,0,0
2017,1,2017-09-10,N,NYJ,12,0,6,6,0,0,BUF,21,0,7,7,7,0
2017,1,2017-09-10,N,ATL,23,3,7,3,10,0,CHI,17,0,10,0,7,0
2017,1,2017-09-10,N,BAL,20,3,14,3,0,0,CIN,0,0,0,0,0,0
2017,1,2017-09-10,N,PIT,21,7,7,7,0,0,CLE,18,7,0,3,8,0
2017,1,2017-09-10,N,ARI,23,10,0,7,6,0,DET,35,0,9,6,20,0
2017,1,2017-09-10,N,OAK,26,7,6,3,10,0,TEN,16,7,3,3,3,0
2017,1,2017-09-10,N,PHI,30,7,9,3,11,0,WAS,17,0,14,3,0,0
2017,1,2017-09-10,N,JAX,29,3,16,7,3,0,HOU,7,0,0,7,0,0
2017,1,2017-09-10,N,IND,9,3,0,0,6,0,LAR,46,10,17,10,9,0
2017,1,2017-09-10,N,SEA,9,0,3,3,3,0,GB,17,0,0,14,3,0
2017,1,2017-09-10,N,CAR,23,7,6,10,0,0,SF,3,0,0,3,0,0
2017,1,2017-09-10,N,NYG,3,0,0,3,0,0,DAL,19,3,13,0,3,0
2017,1,2017-09-10,N,NO,19,3,3,3,10,0,MIN,29,3,13,3,10,0
2017,1,2017-09-10,N,LAC,21,0,7,0,14,0,DEN,24,7,7,10,0,0
2017,2,2017-09-14,N,HOU,13,3,7,0,3,0,CIN,9,0,6,3,0,0
2017,2,2017-09-17,Y,ARI,16,0,3,0,10,3,IND,13,10,0,0,3,0
2017,2,2017-09-17,N,PHI,20,3,0,7,10,0,KC,27,3,3,7,14,0
2017,2,2017-09-17,N,NE,36,20,10,3,3,0,NO,20,3,10,0,7,0
2017,2,2017-09-17,N,MIN,9,0,3,6,0,0,PIT,26,7,7,6,6,0
2017,2,2017-09-17,N,CHI,7,0,0,0,7,0,TB,29,10,16,0,3,0
2017,2,2017-09-17,N,BUF,3,0,0,0,3,0,CAR,9,3,3,0,3,0
2017,2,2017-09-17,N,TEN,37,3,3,17,14,0,JAX,16,3,0,0,13,0
2017,2,2017-09-17,N,CLE,10,0,7,3,0,0,BAL,24,7,14,0,3,0
2017,2,2017-09-17,N,NYJ,20,0,10,3,7,0,OAK,45,7,14,7,17,0
2017,2,2017-09-17,N,MIA,19,3,0,10,6,0,LAC,17,0,10,7,0,0
2017,2,2017-09-17,N,DAL,17,0,10,0,7,0,DEN,42,7,14,14,7,0
2017,2,2017-09-17,N,WAS,27,3,17,0,7,0,LAR,20,0,10,7,3,0
2017,2,2017-09-17,N,SF,9,0,6,0,3,0,SEA,12,6,0,0,6,0
2017,2,2017-09-17,N,GB,23,7,0,3,13,0,ATL,34,7,17,10,0,0
2017,2,2017-09-18,N,DET,24,7,10,0,7,0,NYG,10,0,7,3,0,0
2017,3,2017-09-21,N,LAR,41,14,10,10,7,0,SF,39,7,6,7,19,0
2017,3,2017-09-22,N,BAL,7,0,0,0,7,0,JAX,44,10,13,14,7,0
2017,3,2017-09-22,N,DEN,16,3,10,3,0,0,BUF,26,0,13,7,6,0
2017,3,2017-09-22,Y,PIT,17,0,7,7,3,0,CHI,23,7,10,0,0,6
2017,3,2017-09-22,N,ATL,30,7,13,3,7,0,DET,26,0,13,10,3,0
2017,3,2017-09-22,N,CLE,28,0,14,0,14,0,IND,31,7,21,0,3,0
2017,3,2017-09-22,N,TB,17,3,0,14,0,0,MIN,34,7,14,10,3,0
2017,3,2017-09-22,N,HOU,33,10,10,7,6,0,NE,36,7,14,7,8,0
2017,3,2017-09-22,N,MIA,6,0,0,0,6,0,NYJ,20,0,10,10,0,0
2017,3,2017-09-22,N,NYG,24,0,0,0,24,0,PHI,27,0,7,7,13,0
2017,3,2017-09-22,N,NO,34,7,10,7,10,0,CAR,13,3,3,7,0,0
2017,3,2017-09-22,N,SEA,27,0,7,7,13,0,TEN,33,0,9,21,3,0
2017,3,2017-09-22,Y,CIN,24,7,14,0,3,0,GB,27,7,0,7,10,3
2017,3,2017-09-22,N,KC,24,14,3,0,7,0,LAC,10,7,3,0,0,0
2017,3,2017-09-22,N,OAK,10,0,0,7,3,0,WAS,27,7,7,7,6,0
2017,3,2017-09-23,N,DAL,28,0,7,7,14,0,ARI,17,7,0,7,3,0
2017,4,2017-09-28,N,CHI,14,0,7,0,7,0,GB,35,14,7,7,7,0
2017,4,2017-10-01,N,NO,20,0,3,7,10,0,MIA,0,0,0,0,0,0
2017,4,2017-10-01,N,BUF,23,0,7,7,9,0,ATL,17,0,10,0,7,0
2017,4,2017-10-01,N,CIN,31,0,21,10,0,0,CLE,7,0,0,0,7,0
2017,4,2017-10-01,N,LAR,35,3,13,10,9,0,DAL,30,3,21,0,6,0
2017,4,2017-10-01,N,DET,14,0,3,11,0,0,MIN,7,0,7,0,0,0
2017,4,2017-10-01,N,CAR,33,3,14,6,10,0,NE,30,3,13,0,14,0
2017,4,2017-10-01,Y,JAX,20,7,3,0,10,0,NYJ,23,7,3,10,0,3
2017,4,2017-10-01,N,PIT,26,3,16,0,7,0,BAL,9,0,0,9,0,0
2017,4,2017-10-01,N,TEN,14,0,14,0,0,0,HOU,57,14,16,7,20,0
2017,4,2017-10-01,Y,SF,15,3,3,6,0,3,ARI,18,0,6,3,3,6
2017,4,2017-10-01,N,PHI,26,10,6,3,7,0,LAC,24,0,10,0,14,0
2017,4,2017-10-01,N,NYG,23,0,10,7,6,0,TB,25,13,3,0,9,0
2017,4,2017-10-01,N,OAK,10,0,7,0,3,0,DEN,16,10,0,6,0,0
2017,4,2017-10-01,N,IND,18,2,13,3,0,0,SEA,46,3,7,22,14,0
2017,4,2017-10-02,N,WAS,20,10,0,7,3,0,KC,29,0,7,10,12,0
2017,5,2017-10-05,N,NE,19,3,10,3,3,0,TB,14,0,7,0,7,0
2017,5,2017-10-08,N,BUF,16,3,7,3,3,0,CIN,20,7,3,0,10,0
2017,5,2017-10-08,N,NYJ,17,0,3,7,7,0,CLE,14,0,0,7,7,0
2017,5,2017-10-08,N,CAR,27,3,14,10,0,0,DET,24,3,7,0,14,0
2017,5,2017-10-08,Y,SF,23,3,3,0,17,0,IND,26,3,3,10,7,3
2017,5,2017-10-08,N,TEN,10,0,3,7,0,0,MIA,16,10,0,0,6,0
2017,5,2017-10-08,N,LAC,27,0,10,7,10,0,NYG,22,9,0,7,6,0
2017,5,2017-10-08,N,ARI,7,0,7,0,0,0,PHI,34,21,0,10,3,0
2017,5,2017-10-08,N,JAX,30,0,7,13,10,0,PIT,9,3,3,3,0,0
2017,5,2017-10-08,N,BAL,30,14,10,0,6,0,OAK,17,3,7,7,0,0
2017,5,2017-10-08,N,SEA,16,0,10,3,3,0,LAR,10,0,10,0,0,0
2017,5,2017-10-08,N,GB,35,6,6,3,20,0,DAL,31,7,14,0,10,0
2017,5,2017-10-08,N,KC,42,3,20,0,19,0,HOU,34,0,7,6,21,0
2017,5,2017-10-09,N,MIN,20,0,3,14,3,0,CHI,17,2,0,7,8,0
2017,6,2017-10-12,N,PHI,28,3,7,11,7,0,CAR,23,3,7,6,7,0
2017,6,2017-10-15,N,MIA,20,0,0,14,6,0,ATL,17,10,7,0,0,0
2017,6,2017-10-15,N,GB,10,0,10,0,0,0,MIN,23,0,14,3,6,0
2017,6,2017-10-15,N,DET,38,7,3,14,14,0,NO,52,17,14,14,7,0
2017,6,2017-10-15,N,NE,24,0,14,7,3,0,NYJ,17,7,7,0,3,0
2017,6,2017-10-15,N,SF,24,0,7,10,7,0,WAS,26,7,10,0,9,0
2017,6,2017-10-15,Y,CHI,27,0,10,7,7,3,BAL,24,0,3,7,14,0
2017,6,2017-10-15,N,CLE,17,3,0,0,14,0,HOU,33,10,14,9,0,0
2017,6,2017-10-15,N,TB,33,0,0,6,27,0,ARI,38,14,10,7,7,0
2017,6,2017-10-15,N,LAR,27,17,7,0,3,0,JAX,17,14,0,3,0,0
2017,6,2017-10-15,N,PIT,19,2,10,0,7,0,KC,13,3,0,0,10,0
2017,6,2017-10-15,N,LAC,17,0,7,0,10,0,OAK,16,7,3,0,6,0
2017,6,2017-10-15,N,NYG,23,3,14,3,3,0,DEN,10,0,3,0,7,0
2017,6,2017-10-16,N,IND,22,3,10,6,3,0,TEN,36,6,3,6,21,0
2017,7,2017-10-19,N,KC,30,10,10,10,0,0,OAK,31,14,0,7,10,0
2017,7,2017-10-22,N,TB,27,6,0,7,14,0,BUF,30,3,7,7,13,0
2017,7,2017-10-22,N,CAR,3,0,3,0,0,0,CHI,17,7,10,0,0,0
2017,7,2017-10-22,Y,TEN,12,3,3,0,3,3,CLE,9,0,3,3,3,0
2017,7,2017-10-22,N,NO,26,0,7,9,10,0,GB,17,7,7,0,3,0
2017,7,2017-10-22,N,JAX,27,14,6,7,0,0,IND,0,0,0,0,0,0
2017,7,2017-10-22,N,ARI,0,0,0,0,0,0,LAR,33,3,20,3,7,0
2017,7,2017-10-22,N,NYJ,28,14,7,7,0,0,MIA,31,7,7,0,17,0
2017,7,2017-10-22,N,BAL,16,3,3,3,7,0,MIN,24,3,6,9,6,0
2017,7,2017-10-22,N,DAL,40,14,6,13,7,0,SF,10,3,0,0,7,0
2017,7,2017-10-22,N,SEA,24,0,3,7,14,0,NYG,7,0,7,0,0,0
2017,7,2017-10-22,N,CIN,14,7,7,0,0,0,PIT,29,7,13,6,3,0
2017,7,2017-10-22,N,DEN,0,0,0,0,0,0,LAC,21,7,7,0,7,0
2017,7,2017-10-22,N,ATL,7,0,0,0,7,0,NE,23,0,17,3,3,0
2017,7,2017-10-23,N,WAS,24,3,7,7,7,0,PHI,34,0,17,7,10,0
2017,8,2017-10-26,N,MIA,0,0,0,0,0,0,BAL,40,7,13,0,20,0
2017,8,2017-10-29,N,MIN,33,3,9,11,10,0,CLE,16,6,7,3,0,0
2017,8,2017-10-29,N,OAK,14,7,0,0,7,0,BUF,34,0,14,6,14,0
2017,8,2017-10-29,N,IND,23,0,13,7,3,0,CIN,24,3,7,7,7,0
2017,8,2017-10-29,N,LAC,13,7,0,0,6,0,NE,21,0,15,3,3,0
2017,8,2017-10-29,N,CHI,12,0,3,3,6,0,NO,20,7,7,0,6,0
2017,8,2017-10-29,N,ATL,25,7,6,3,9,0,NYJ,20,7,10,0,3,0
2017,8,2017-10-29,N,SF,10,0,0,7,3,0,PHI,33,3,14,10,6,0
2017,8,2017-10-29,N,CAR,17,7,3,0,7,0,TB,3,0,0,3,0,0
2017,8,2017-10-29,N,HOU,38,14,7,3,14,0,SEA,41,14,7,6,14,0
2017,8,2017-10-29,N,DAL,33,7,7,9,10,0,WAS,19,10,3,0,6,0
2017,8,2017-10-29,N,PIT,20,3,7,10,0,0,DET,15,3,9,0,3,0
2017,8,2017-10-30,N,DEN,19,0,3,10,6,0,KC,29,14,3,3,9,0
2017,9,2017-11-02,N,BUF,21,0,7,0,14,0,NYJ,34,7,3,14,10,0
2017,9,2017-11-05,N,BAL,20,3,3,0,14,0,TEN,23,10,6,0,7,0
2017,9,2017-11-05,N,TB,10,0,3,0,7,0,NO,30,9,7,14,0,0
2017,9,2017-11-05,N,LAR,51,7,20,21,3,0,NYG,17,7,3,0,7,0
2017,9,2017-11-05,N,DEN,23,3,6,0,14,0,PHI,51,17,14,13,7,0
2017,9,2017-11-05,N,ATL,17,10,0,0,7,0,CAR,20,0,14,6,0,0
2017,9,2017-11-05,N,CIN,7,0,7,0,0,0,JAX,23,3,10,3,7,0
2017,9,2017-11-05,N,IND,20,7,3,7,3,0,HOU,14,0,7,0,7,0
